"","Property_ID","Listing_Title","Listing_Type","Created","Scraped","Airbnb_PID","Airbnb_HID","HomeAway_PID","HomeAway_HID","winner","Permit","ETBL_ID","n_reserved","n_available","revenue","FREH","ML","LFRML","geometry","GH","Legal","n_diff"
"74","ab-26425960","Cozy 3 HUGE BDR new brand condo+ parking/DT","Entire home/apt",2018-07-02,2019-05-11,26425960,135490751,NA,NA,24661265,FALSE,NA,160,304,25337,TRUE,FALSE,FALSE,c(612047.117379787, 5041236.03699655),FALSE,FALSE,302
"75","ab-26474234","calme ,lumineux et plein de charme. Proche de tout","Entire home/apt",2018-07-07,2018-09-10,26474234,156913786,NA,NA,24661795,FALSE,NA,55,298,1662,FALSE,TRUE,TRUE,c(612257.795944653, 5042929.91318947),FALSE,TRUE,297
"76","ab-26474291","NEW and modern 1 bdrm condo- Plateau-Mont-Royal!","Entire home/apt",2018-07-02,2019-05-21,26474291,78168791,NA,NA,24661904,FALSE,NA,250,327,17078,TRUE,TRUE,FALSE,c(611035.172742084, 5042657.19510498),FALSE,FALSE,302
"77","ab-26474626","Plein de charme,calme et lumineux. 
Proche de tout","Entire home/apt",2018-07-02,2018-09-11,26474626,156913786,NA,NA,24661795,FALSE,NA,56,334,2218,FALSE,TRUE,FALSE,c(612261.903852059, 5043012.4970877),FALSE,FALSE,302
"78","ab-26491727","Great, sunlit deal in the Plateau Mont Royal","Private room",2018-07-04,2019-05-21,26491727,32507173,NA,NA,24661825,FALSE,NA,173,308,4343,FALSE,TRUE,FALSE,c(610364.557994395, 5043302.13970687),FALSE,TRUE,300
"79","ab-26557021","Cute bedroom in Mile End /Plateau","Private room",2018-07-04,2019-02-26,26557021,60103894,NA,NA,24661416,FALSE,NA,94,317,3562,FALSE,TRUE,FALSE,c(609797.045950999, 5041635.2062598),TRUE,FALSE,300
"80","ab-26563474","Comfy Affordable Downtown Appartment","Entire home/apt",2018-07-04,2018-07-04,26563474,199744203,NA,NA,24663346,FALSE,NA,4,334,144,FALSE,FALSE,FALSE,c(611518.221540916, 5041203.13200488),FALSE,TRUE,300
"81","ab-26594035","NEW 5bdrm 2bath Condo with Parking!","Entire home/apt",2018-07-05,2018-08-21,26594035,185080449,NA,NA,24661959,FALSE,NA,20,316,7928,FALSE,TRUE,FALSE,c(610777.046809043, 5041371.84662318),FALSE,FALSE,299
"82","ab-26596792","The Sherbrooke Suite 101","Entire home/apt",2018-07-06,2019-05-23,26596792,15935760,NA,NA,24661272,FALSE,NA,246,311,14346,TRUE,TRUE,FALSE,c(611668.43113633, 5040695.84888208),FALSE,FALSE,298
"83","ab-26607296","BEST - Beautiful 2 bedroom cozy home 'king beds'","Entire home/apt",2018-07-06,2019-05-22,26607296,200044585,"7500161",NA,24661382,FALSE,NA,195,311,20946,TRUE,FALSE,FALSE,c(609395.126093933, 5041924.90052542),FALSE,FALSE,298
"84","ab-26627538","Nice room","Private room",2018-08-02,2019-03-10,26627538,119875745,NA,NA,24661858,FALSE,NA,26,301,3743,FALSE,TRUE,FALSE,c(611959.352649598, 5041425.61699869),TRUE,FALSE,271
"85","ab-26629239","Beautiful Modern 3 Bedroom in Plateau!","Entire home/apt",2018-07-05,2018-07-11,26629239,157653476,NA,NA,24661961,FALSE,NA,0,332,0,FALSE,FALSE,FALSE,c(610809.885585519, 5041218.70356501),FALSE,TRUE,299
"86","ab-26639323","Cozy Room in Mile End","Private room",2018-07-30,2019-05-21,26639323,54549856,NA,NA,24661392,FALSE,NA,139,294,2632,FALSE,FALSE,FALSE,c(609167.553408909, 5042028.73074465),FALSE,TRUE,274
"87","ab-26659472","2 Floor Apartment with HUGE Deck!","Entire home/apt",2018-07-22,2018-07-22,26659472,68002838,NA,NA,24661858,FALSE,NA,0,301,0,FALSE,TRUE,FALSE,c(612118.796651336, 5041535.46653974),FALSE,FALSE,282
"88","ab-26682613","Condo au cœur du plateau Mont-royal","Entire home/apt",2018-07-07,2018-07-07,26682613,29470765,NA,NA,24661962,FALSE,NA,1,304,144,FALSE,FALSE,FALSE,c(610381.235314167, 5041628.2118968),FALSE,TRUE,297
"89","ab-26693071","Maison ty","Private room",2018-07-09,2018-07-25,26693071,132097985,NA,NA,24661382,FALSE,NA,5,304,161,FALSE,FALSE,FALSE,c(609191.498844081, 5041934.24368107),FALSE,TRUE,295
"90","ab-26774304","Luxurious downtown appartement","Entire home/apt",2018-07-28,2019-01-07,26774304,25646950,NA,NA,24661283,FALSE,NA,116,279,10559,TRUE,TRUE,FALSE,c(611681.751477478, 5040377.77333851),FALSE,FALSE,276
"91","ab-26812419","71. Nice and cosy Studio in a PERFECT LOCATION!!","Entire home/apt",2018-07-12,2019-05-21,26812419,9998124,NA,NA,24661958,FALSE,NA,200,294,9672,TRUE,TRUE,FALSE,c(610788.860555062, 5041522.62781523),FALSE,FALSE,292
"92","ab-26817491","Studio","Private room",2018-07-12,2018-07-24,26817491,200992390,NA,NA,24661416,FALSE,NA,2,304,122,FALSE,FALSE,FALSE,c(609838.207955807, 5041564.75443891),FALSE,TRUE,292
"93","ab-26817568","The best apartment Downtown Montreal + Parking","Entire home/apt",2018-07-13,2019-05-23,26817568,142914282,NA,NA,24661941,FALSE,NA,194,296,11012,TRUE,TRUE,FALSE,c(611143.3467765, 5041093.26442427),FALSE,FALSE,291
"94","ab-26838498","DL | Two Storey Sunset View 2 bedrs/2bath Mt-Royal","Entire home/apt",2018-07-14,2019-05-23,26838498,156065758,NA,NA,24661835,FALSE,NA,203,297,35464,TRUE,TRUE,FALSE,c(610729.077204943, 5042386.17577471),FALSE,FALSE,290
"95","ab-26844989","rooommmy","Private room",2018-07-14,2019-05-24,26844989,65595668,NA,NA,24661442,FALSE,NA,12,295,740,FALSE,FALSE,FALSE,c(610014.929749708, 5042663.65502674),FALSE,TRUE,290
"96","ab-26859788","Perfect Mont Royal Location - 2 Bedroom","Entire home/apt",2018-07-18,2018-08-08,26859788,188549857,NA,NA,24661964,FALSE,NA,65,302,7544,FALSE,TRUE,FALSE,c(610667.25047491, 5041835.18724689),FALSE,FALSE,286
"97","ab-26860396","Lovely 2 Bedroom Mont Royal!","Entire home/apt",2018-07-18,2018-08-08,26860396,188549857,NA,NA,24661957,FALSE,NA,16,298,2320,FALSE,TRUE,FALSE,c(610616.426604384, 5041652.7204345),FALSE,FALSE,286
"98","ab-26864718","Location d'une chambre","Private room",2018-07-14,2018-07-27,26864718,201369234,NA,NA,24662027,FALSE,NA,28,303,653,FALSE,FALSE,FALSE,c(611125.755160064, 5043852.70799883),FALSE,TRUE,290
"99","ab-26867433","Perfect Mont Royal 2 Bedroom!","Entire home/apt",2018-12-31,2019-01-15,26867433,202063741,NA,NA,24661964,FALSE,NA,2,145,272,FALSE,TRUE,FALSE,c(610550.499805087, 5041871.65169414),FALSE,FALSE,120
"100","ab-26873567","Chambre/Appartement à une rue du Mont-Royal","Private room",2018-07-18,2019-05-24,26873567,8823346,NA,NA,24661945,FALSE,NA,60,292,2701,FALSE,FALSE,FALSE,c(610907.524874381, 5041262.45487618),FALSE,TRUE,286
"101","ab-26874195","Chambre à louer au coeur de Montréal.","Private room",2018-07-14,2018-07-14,26874195,158427150,NA,NA,24661950,FALSE,NA,0,303,0,FALSE,FALSE,FALSE,c(611393.801879818, 5041513.45383627),FALSE,TRUE,290
"102","ab-26874914","Picturesque Le Plateau-Mont-Royal","Entire home/apt",2018-09-03,2019-05-24,26874914,39395033,NA,NA,24663342,FALSE,NA,47,246,2328,FALSE,FALSE,FALSE,c(611652.647045557, 5041494.6070899),FALSE,TRUE,239
"103","ab-26922927","Beautiful 31/2 in the hart of plateau mont-royal","Entire home/apt",2018-07-16,2018-08-16,26922927,20257728,NA,NA,24661805,FALSE,NA,49,289,2633,FALSE,FALSE,FALSE,c(611687.660379481, 5043056.03720602),FALSE,TRUE,288
